"","Year","Population","Violent Crime rate","Murder and nonnegligent manslaughter rate","Legacy rape rate /1","Revised rape rate /2","Robbery rate","Aggravated assault rate","State"
"1","2000","4447100","486.2","7.4","33.3","","128.2","317.2","Alabama"
"2","2001","4468912","438.2","8.5","30.6","","125","274.1","Alabama"
"3","2002","4478896","445","6.8","37.2","","133.1","268","Alabama"
"4","2003","4503726","429.2","6.6","36.8","","134.1","251.7","Alabama"
"5","2004","4525375","427","5.6","38.5","","133.5","249.4","Alabama"
"6","2005","4548327","433","8.2","34.4","","141.7","248.3","Alabama"
"7","2006","4599030","425.2","8.3","35.8","","153.6","227.5","Alabama"
"8","2007","4627851","448.9","8.9","33.4","","159.9","246.7","Alabama"
"9","2008","4661900","452.8","7.5","34.7","","157.6","253","Alabama"
"10","2009","4708708","450.1","6.8","31.9","","133.1","278.3","Alabama"
"11","2010","4785401","383.7","5.7","28.3","","101.6","248","Alabama"
"12","2011","4803689","419.8","6.2","28.5","","102.1","282.9","Alabama"
"13","2012","4817528","450.3","7.1","26.9","","104.2","312.1","Alabama"
"14","2013","4833996","431","7.2","30","42.5","96.1","285.2","Alabama"
"15","2014","4849377","427.4","5.7","29.6","41.3","96.9","283.4","Alabama"
"16","2000","626932","566.9","4.3","79.3","","78.2","405.1","Alaska"
"17","2001","633630","589.5","6.2","79.1","","81.1","423.1","Alaska"
"18","2002","641482","565.4","5.1","79.7","","76.2","404.4","Alaska"
"19","2003","648280","598","6","93.3","","68.8","429.9","Alaska"
"20","2004","657755","632.3","5.6","84.8","","68","473.9","Alaska"
"21","2005","663253","632","4.8","81.1","","81","465.4","Alaska"
"22","2006","670053","688","5.4","76.4","","89.5","516.7","Alaska"
"23","2007","683478","661.3","6.3","79.7","","85","490.3","Alaska"
"24","2008","686293","652.1","3.9","65.1","","94","489","Alaska"
"25","2009","698473","633.4","3.1","73.4","","93.6","463.2","Alaska"
"26","2010","714146","635.3","4.3","74.6","","83.2","473.2","Alaska"
"27","2011","723860","610.1","4.1","60.2","","79.6","466.1","Alaska"
"28","2012","730307","604.1","4.1","79.8","","86.3","433.9","Alaska"
"29","2013","737259","638.7","4.6","89.1","125.5","84.5","424.1","Alaska"
"30","2014","736732","635.8","5.6","75.3","104.7","85.4","440.2","Alaska"
"31","2000","5130632","531.7","7","30.7","","146.3","347.7","Arizona"
"32","2001","5306966","540.3","7.5","28.6","","167.1","337.1","Arizona"
